phase,symbol,linked_ip,symbol_offset,instruction,samples,period,phase_percent,focus_region
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x11593402,66,"bt %rdx,%rsi",7,35174148,0.18590087670709715,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x11593406,70,jae 1159347d <_RNvNtNtCscI5nJwKNRh4_13perry_runtime7closure13dynamic_props14is_closure_ptr+0xbd>,1,5277351,0.02789162590636384,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x11593412,82,"shr $0x32,%rsi",4,20699727,0.10940129656864951,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x1159341d,93,"bt %rdx,%rsi",1,5233845,0.02766168988795569,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x1159342e,110,"and $0xf,%eax",1,5189966,0.027429782506175452,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x1159344f,143,"mov %rbx,%rdi",2,10556757,0.055794112809321915,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x11593458,152,"mov %r14,%rdi",3,15384621,0.0813101295788719,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x1159349d,221,"mov %rdi,%rbx",2,8943015,0.04726523379911634,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x115934a9,233,"lea -0x3e1a8(%rax),%rax",1,5260074,0.027800314257624872,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x115934bb,251,"mov %rbx,%rdx",1,4695543,0.024816679577167673,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x115934c5,261,"mov 0x10(%rax),%rax",1,5292761,0.027973070167929364,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x115935f0,560,"test %cl,%cl",1,5232709,0.027655685950179025,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x11593603,579,pop %r14,4,21042426,0.11121251441383073,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x11593606,582,ret ,1,5156620,0.027253543677741715,
